Time,CForce,BForce,AForce,DForce
2.41,0.493564556,-0.034483046,-0.007062792,0.095970886
2.42,0.493564556,-0.04113038,-0.013710127,0.123391139
2.43,0.493564556,-0.048193172,-0.007062792,0.123391139
2.44,0.513922016,-0.048193172,-0.013710127,0.137101265
2.45,0.513922016,-0.048193172,-0.013710127,0.1437486
2.46,0.513922016,-0.054840506,-0.007062792,0.1437486
2.47,0.527632143,-0.061903299,-0.013710127,0.130038473
2.48,0.527632143,-0.054840506,-0.013710127,0.150811392
2.49,0.534694935,-0.048193172,-0.013710127,0.1437486
2.5,0.534694935,-0.048193172,0,0.1437486
2.51,0.534694935,-0.048193172,-0.007062792,0.150811392
2.52,0.54134227,-0.048193172,-0.013710127,0.157458726
2.53,0.54134227,-0.048193172,-0.007062792,0.150811392
2.54,0.54134227,-0.04113038,-0.013710127,0.150811392
2.55,0.54134227,-0.034483046,-0.013710127,0.150811392
2.56,0.534694935,-0.034483046,-0.007062792,0.150811392
2.57,0.534694935,-0.034483046,-0.013710127,0.157458726
2.58,0.527632143,-0.027420253,-0.007062792,0.164521519
2.59,0.527632143,-0.034483046,-0.013710127,0.171168853
2.6,0.527632143,-0.027420253,-0.013710127,0.178231645
2.61,0.527632143,-0.020772919,-0.013710127,0.184878979
2.62,0.513922016,-0.027420253,-0.013710127,0.171168853
2.63,0.50021189,-0.027420253,-0.013710127,0.184878979
2.64,0.507274682,-0.020772919,-0.013710127,0.184878979
2.65,0.50021189,-0.020772919,-0.013710127,0.191941772
2.66,0.50021189,-0.027420253,-0.013710127,0.178231645
2.67,0.493564556,-0.034483046,-0.007062792,0.191941772
2.68,0.493564556,-0.027420253,-0.007062792,0.191941772
2.69,0.50021189,-0.020772919,-0.013710127,0.199004564
2.7,0.493564556,-0.034483046,-0.007062792,0.199004564
2.71,0.493564556,-0.034483046,-0.007062792,0.199004564
2.72,0.486501763,-0.027420253,-0.007062792,0.199004564
2.73,0.479854429,-0.034483046,-0.013710127,0.199004564
2.74,0.486501763,-0.034483046,-0.013710127,0.199004564
2.75,0.493564556,-0.034483046,-0.020772919,0.199004564
2.76,0.507274682,-0.027420253,-0.013710127,0.205651898
2.77,0.507274682,-0.04113038,-0.013710127,0.212714691
2.78,0.513922016,-0.04113038,-0.013710127,0.199004564
2.79,0.513922016,-0.048193172,-0.007062792,0.199004564
2.8,0.520984809,-0.048193172,-0.013710127,0.199004564
2.81,0.520984809,-0.054840506,-0.013710127,0.205651898
2.82,0.527632143,-0.048193172,-0.013710127,0.205651898
2.83,0.520984809,-0.048193172,-0.013710127,0.205651898
2.84,0.527632143,-0.04113038,-0.007062792,0.205651898
2.85,0.520984809,-0.048193172,-0.013710127,0.205651898
2.86,0.520984809,-0.04113038,-0.013710127,0.212714691
2.87,0.520984809,-0.034483046,-0.013710127,0.191941772
2.88,0.520984809,-0.04113038,-0.013710127,0.199004564
2.89,0.520984809,-0.034483046,-0.007062792,0.205651898
2.9,0.520984809,-0.04113038,-0.013710127,0.212714691
2.91,0.513922016,-0.034483046,-0.013710127,0.205651898
2.92,0.513922016,-0.04113038,-0.013710127,0.199004564
2.93,0.513922016,-0.04113038,-0.013710127,0.205651898
2.94,0.513922016,-0.048193172,-0.013710127,0.191941772
2.95,0.507274682,-0.04113038,-0.013710127,0.191941772
2.96,0.507274682,-0.034483046,-0.007062792,0.205651898
2.97,0.507274682,-0.034483046,-0.013710127,0.199004564
2.98,0.513922016,-0.034483046,-0.013710127,0.205651898
2.99,0.507274682,-0.027420253,-0.007062792,0.205651898
3,0.507274682,-0.020772919,-0.013710127,0.199004564
3.01,0.507274682,-0.020772919,-0.013710127,0.191941772
3.02,0.520984809,-0.020772919,-0.013710127,0.199004564
3.03,0.513922016,-0.020772919,-0.013710127,0.199004564
3.04,0.507274682,-0.027420253,-0.013710127,0.199004564
3.05,0.513922016,-0.027420253,-0.013710127,0.199004564
3.06,0.513922016,-0.027420253,-0.007062792,0.199004564
3.07,0.513922016,-0.034483046,-0.007062792,0.205651898
3.08,0.513922016,-0.027420253,-0.013710127,0.205651898
3.09,0.520984809,-0.027420253,-0.007062792,0.199004564
3.1,0.513922016,-0.034483046,-0.007062792,0.199004564
3.11,0.513922016,-0.04113038,-0.007062792,0.199004564
3.12,0.513922016,-0.04113038,-0.007062792,0.199004564
3.13,0.513922016,-0.034483046,0,0.205651898
3.14,0.513922016,-0.04113038,-0.007062792,0.205651898
3.15,0.520984809,-0.04113038,-0.007062792,0.199004564
3.16,0.513922016,-0.04113038,-0.007062792,0.205651898
3.17,0.520984809,-0.04113038,-0.007062792,0.205651898
3.18,0.513922016,-0.04113038,-0.013710127,0.205651898
3.19,0.513922016,-0.048193172,-0.007062792,0.205651898
3.2,0.513922016,-0.04113038,-0.013710127,0.205651898
3.21,0.513922016,-0.048193172,-0.013710127,0.199004564
3.22,0.513922016,-0.04113038,-0.007062792,0.205651898
3.23,0.520984809,-0.034483046,-0.007062792,0.205651898
3.24,0.507274682,-0.034483046,-0.007062792,0.205651898
3.25,0.507274682,-0.034483046,-0.013710127,0.199004564
3.26,0.507274682,-0.034483046,-0.013710127,0.205651898
3.27,0.513922016,-0.04113038,-0.007062792,0.199004564
3.28,0.513922016,-0.027420253,-0.007062792,0.205651898
3.29,0.513922016,-0.027420253,-0.007062792,0.205651898
3.3,0.513922016,-0.027420253,-0.013710127,0.205651898
3.31,0.513922016,-0.04113038,-0.013710127,0.212714691
3.32,0.513922016,-0.04113038,-0.020772919,0.205651898
3.33,0.513922016,-0.027420253,-0.007062792,0.205651898
3.34,0.513922016,-0.027420253,-0.013710127,0.205651898
3.35,0.513922016,-0.034483046,-0.007062792,0.205651898
3.36,0.513922016,-0.027420253,-0.007062792,0.205651898
3.37,0.513922016,-0.027420253,-0.013710127,0.205651898
3.38,0.513922016,-0.027420253,-0.007062792,0.199004564
3.39,0.520984809,-0.027420253,-0.013710127,0.199004564
3.4,0.513922016,-0.034483046,-0.007062792,0.199004564
3.41,0.513922016,-0.034483046,-0.013710127,0.199004564
3.42,0.507274682,-0.034483046,-0.013710127,0.199004564
3.43,0.520984809,-0.04113038,-0.013710127,0.205651898
3.44,0.507274682,-0.034483046,-0.013710127,0.199004564
3.45,0.507274682,-0.034483046,-0.013710127,0.199004564
