"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.456971095E0,-1.939819008E-2,-3.231837749E-1,5.516719818E-2,3.284318223E-1
8.474895044E0,-5.713714659E-2,-3.127537370E-1,4.137516022E-2,3.206110687E-1
8.492809718E0,-1.377383620E-2,-3.213921189E-1,1.681137085E-2,3.221261164E-1
8.510727747E0,-2.801576629E-2,-3.300765157E-1,3.591823578E-2,3.332049055E-1
8.528644740E0,-1.352088898E-2,-3.293049037E-1,1.674461365E-2,3.300074486E-1
8.546562892E0,-1.816239953E-2,-3.763286471E-1,2.628231049E-2,3.776822517E-1
8.564480433E0,-4.246532172E-2,-3.619433641E-1,3.582763672E-2,3.661829078E-1
8.582398463E0,-1.356817782E-2,-3.605543375E-1,3.041172028E-2,3.620889372E-1
8.600315577E0,-3.268749639E-2,-3.554788530E-1,2.618885040E-2,3.579379041E-1
8.618239283E0,-2.257839218E-2,-3.879079521E-1,3.990554810E-2,3.906082639E-1
8.636147853E0,-1.362802088E-2,-3.623691201E-1,2.550697327E-2,3.635212619E-1
8.654072474E0,-9.038675576E-3,-3.660191894E-1,2.546024323E-2,3.670149433E-1
8.671986293E0,-9.074911475E-3,-3.315706551E-1,3.080654144E-2,3.331223444E-1
8.689904200E0,1.024270244E-2,-3.689819872E-1,2.060317993E-2,3.696986758E-1
8.707821986E0,-2.777233720E-2,-3.012580276E-1,-1.232624054E-2,3.027864562E-1
8.725740260E0,5.546117201E-3,-3.576811254E-1,4.446315765E-2,3.604767944E-1
8.743657130E0,-2.307381108E-2,-3.233107924E-1,-3.426551819E-3,3.241512155E-1
8.761575221E0,-1.830450445E-2,-3.517981768E-1,3.482437134E-2,3.539911706E-1
8.779492823E0,9.448975325E-4,-3.026258349E-1,1.297950745E-3,3.026300935E-1
8.797410914E0,-2.297707647E-2,-3.545365930E-1,6.054878235E-3,3.553319622E-1
8.815328028E0,-8.335091174E-3,-3.157171905E-1,6.034851074E-3,3.158848486E-1
8.833245753E0,-3.213750944E-2,-3.538696170E-1,2.514839172E-2,3.562147764E-1
8.851151881E0,-3.262128681E-3,-3.476612866E-1,1.189231873E-3,3.476786245E-1
8.869077418E0,-1.769873500E-2,-3.228051066E-1,3.465175629E-2,3.251417019E-1
8.887003260E0,1.288186759E-3,-3.698445559E-1,1.547622681E-2,3.701704587E-1
8.904916773E0,-4.168621823E-2,-3.504735827E-1,2.980136871E-2,3.541999359E-1
8.922834376E0,1.278225332E-3,-3.538800180E-1,3.455638885E-2,3.555655284E-1
8.940752467E0,-3.628258035E-2,-3.534695506E-1,6.861495972E-2,3.618910907E-1
8.958668238E0,-3.331106156E-3,-3.518595099E-1,1.114940643E-2,3.520518716E-1
8.976589015E0,2.069202438E-2,-2.792325318E-1,2.547454834E-2,2.811546181E-1
8.994505274E0,2.072928473E-2,-3.404604793E-1,9.107589722E-4,3.410921733E-1
9.012423365E0,2.071300149E-2,-2.775838375E-1,-3.261375427E-2,2.802596515E-1
9.030335841E0,-2.692814544E-2,-2.815205455E-1,-1.769161224E-2,2.833583168E-1
9.048256556E0,3.535638005E-2,-2.904433012E-1,-2.309989929E-2,2.934978538E-1
9.066178004E0,-5.075819418E-2,-2.850871086E-1,-3.209495544E-2,2.913436801E-1
9.084094447E0,-2.663090825E-2,-3.036603630E-1,7.858276367E-4,3.048268998E-1
9.102011378E0,-5.958032608E-2,-3.466110229E-1,2.468681335E-2,3.525598605E-1
9.119929408E0,-3.602508083E-2,-3.316240311E-1,1.509284973E-2,3.339163047E-1
9.137847376E0,-5.419497937E-2,-3.644090891E-1,5.813789368E-2,3.729759975E-1
9.155765162E0,7.635055110E-3,-3.439955711E-1,9.658813477E-3,3.442158330E-1
9.173682277E0,-2.530157939E-2,-3.774029016E-1,4.313087463E-2,3.807011852E-1
9.191606410E0,1.263251342E-2,-3.329666257E-1,2.396106720E-2,3.340665906E-1
9.209518092E0,2.203107253E-2,-3.709127009E-1,3.828239441E-2,3.735333205E-1
9.227436243E0,-6.836943328E-3,-3.264104128E-1,1.492023468E-2,3.268227574E-1
9.245353175E0,2.621356025E-2,-3.446157873E-1,2.864265442E-2,3.467961840E-1
9.263260218E0,-2.614767104E-2,-2.960908711E-1,-1.385402679E-2,2.975658561E-1
9.281189173E0,7.115254179E-3,-3.189196885E-1,5.247116089E-3,3.190422022E-1
9.299106959E0,-5.953347683E-2,-2.756578028E-1,1.060295105E-2,2.822124761E-1
9.317024379E0,-2.602520958E-2,-3.129636347E-1,5.183219910E-3,3.140866345E-1
9.334942347E0,-2.591171861E-2,-2.732421756E-1,-9.204864502E-3,2.746223465E-1
9.352848170E0,-1.136372238E-2,-3.250969946E-1,5.124092102E-3,3.253358978E-1
9.370777674E0,-1.572290435E-2,-3.006343842E-1,-3.317928314E-2,3.028681355E-1
9.388695277E0,2.268398926E-2,-3.238781095E-1,-1.465892792E-2,3.250022728E-1
9.406613307E0,-3.952980787E-2,-3.240190744E-1,-4.506111145E-3,3.264525560E-1
9.424531031E0,2.746198699E-2,-3.035875857E-1,-3.452301025E-4,3.048273316E-1
9.442446497E0,-4.849975184E-2,-3.465237916E-1,1.398658752E-2,3.501807943E-1
9.460363123E0,-1.115342230E-2,-3.171420991E-1,3.788852692E-2,3.195920061E-1
9.478286891E0,-4.465821758E-2,-3.259036839E-1,-1.418495178E-2,3.292548867E-1
9.496201869E0,-3.918224573E-2,-3.298157752E-1,2.825641632E-2,3.333348451E-1
9.514119959E0,-6.312694401E-3,-3.336100578E-1,-4.940032959E-4,3.336701438E-1
9.532036952E0,-2.083574608E-2,-2.986657023E-1,-4.711151123E-3,2.994286643E-1
9.549955348E0,2.219345421E-2,-2.979735732E-1,-4.736900330E-3,2.988364736E-1
9.567872767E0,1.249721460E-2,-3.164401650E-1,8.996963501E-3,3.168146205E-1
9.585790797E0,-4.015862197E-2,-2.534336746E-1,-1.436233521E-2,2.569973132E-1
9.603708155E0,3.654906526E-2,-3.292764127E-1,1.372909546E-2,3.315829884E-1
9.621626002E0,-2.080259845E-2,-2.237527221E-1,-2.875232697E-2,2.265496084E-1
9.639543849E0,-1.607906446E-2,-3.432975411E-1,-6.618499756E-4,3.436745206E-1
9.657461939E0,-4.500177875E-2,-2.704018950E-1,-1.443958282E-2,2.745010865E-1
9.675378871E0,-2.035235614E-2,-3.326566219E-1,3.758525848E-2,3.353912613E-1
9.693296961E0,-5.414078757E-2,-2.985137999E-1,4.662513733E-3,3.034195983E-1
9.711215113E0,-1.987429336E-2,-3.407258093E-1,4.710578918E-2,3.445403025E-1
9.729132838E0,-4.852003232E-2,-3.303808272E-1,1.836395264E-2,3.344292440E-1
9.747050257E0,-5.806371570E-3,-3.392035663E-1,3.981590271E-3,3.392766223E-1
9.764967921E0,-2.483452484E-2,-3.190919757E-1,-8.373260498E-4,3.200580318E-1
9.782883448E0,-2.504339814E-2,-3.181384504E-1,3.912925720E-3,3.191466064E-1
9.800806544E0,1.782715507E-2,-3.071489632E-1,-2.004337311E-2,3.083180661E-1
9.818721400E0,-1.107402891E-2,-2.685129046E-1,1.342201233E-2,2.690761314E-1
9.836639369E0,-6.444238126E-3,-3.057599068E-1,1.338577271E-2,3.061206097E-1
9.854551783E0,-1.597639918E-2,-2.276260555E-1,2.292346954E-2,2.293345851E-1
9.872471888E0,-1.105151698E-2,-2.896979153E-1,3.246879578E-2,2.917211697E-1
9.890395227E0,-6.024390459E-3,-2.407225370E-1,4.336357117E-3,2.408369513E-1
9.908310206E0,2.742878720E-2,-2.786834836E-1,1.329898834E-2,2.803456536E-1
9.926227992E0,-3.919171169E-2,-2.979392111E-1,3.711700439E-3,3.005287682E-1
9.944146082E0,-2.491588145E-2,-2.879198790E-1,-2.501773834E-2,2.900767917E-1
9.962063380E0,-2.016096562E-2,-3.161701262E-1,-1.703262329E-3,3.168168467E-1
9.979981165E0,-2.502575517E-2,-2.774611115E-1,-5.906105042E-3,2.786500295E-1
9.997899195E0,-1.568355411E-2,-3.292783201E-1,-2.089023590E-2,3.303128637E-1
1.001581704E1,-3.022934496E-2,-2.949232161E-1,-1.553630829E-2,2.968752155E-1
1.003373440E1,7.769366726E-3,-3.178856373E-1,2.973556519E-3,3.179944708E-1
1.005165231E1,-1.145546883E-2,-2.834971547E-1,-6.030082703E-3,2.837925764E-1
1.006957022E1,4.585181177E-2,-3.202063739E-1,-6.661415100E-3,3.235411643E-1
1.008748031E1,-1.669810340E-2,-2.722672820E-1,2.262687683E-2,2.737156829E-1
1.010540383E1,2.609271556E-2,-2.805795074E-1,-6.111145020E-3,2.818564100E-1
1.012332504E1,-2.172825858E-2,-2.802899182E-1,-1.355171204E-3,2.811341174E-1
1.014124154E1,-3.133861721E-2,-2.411640882E-1,-1.383781433E-3,2.431956851E-1
1.015915963E1,-3.108768910E-2,-2.932074070E-1,-2.533054352E-2,2.959369263E-1
1.017707223E1,7.200552151E-3,-2.159174681E-1,-4.387855530E-2,2.204484715E-1
1.019499056E1,-6.874793768E-2,-3.212594390E-1,-1.424789429E-3,3.285360499E-1
1.021291659E1,-2.130956948E-2,-2.390123755E-1,-1.997756958E-2,2.407906075E-1
1.023083084E1,-1.146012917E-2,-3.348618150E-1,2.188110352E-2,3.357715777E-1
1.024874777E1,-1.216734946E-2,-2.675110698E-1,3.622531891E-2,2.702267392E-1
1.026665408E1,7.503757253E-3,-3.143917918E-1,2.662086487E-2,3.156060449E-1
1.028458364E1,6.778838113E-3,-3.087044358E-1,1.701927185E-2,3.092475335E-1
1.030250198E1,6.180221215E-3,-2.935500145E-1,3.134727478E-2,2.952836903E-1
1.032041915E1,-2.280811220E-2,-2.782649398E-1,2.234268188E-2,2.800906677E-1
1.033833712E1,5.610143766E-3,-2.869943976E-1,2.171611786E-2,2.878694978E-1
1.035625491E1,-2.316994220E-2,-2.670517266E-1,4.143047333E-2,2.712378200E-1
1.037417306E1,-1.368775219E-2,-2.328360379E-1,1.269340515E-2,2.335831707E-1
1.039209030E1,-2.798631042E-2,-2.751940489E-1,1.207065582E-2,2.768766853E-1
1.041000826E1,-2.330586314E-2,-2.459519506E-1,7.866859436E-3,2.471789083E-1
1.042792623E1,-8.862894028E-3,-2.742827535E-1,-7.101058960E-3,2.745177677E-1
1.044584426E1,5.897618830E-4,-2.443936169E-1,-2.626228333E-2,2.458013331E-1
1.046376144E1,5.257165059E-3,-2.778845131E-1,-2.628231049E-2,2.791741397E-1
1.048167947E1,-3.775854409E-2,-2.918078303E-1,-2.629566193E-2,2.954132349E-1
1.049958541E1,-2.333075181E-2,-2.770664394E-1,1.197624207E-2,2.783048081E-1
1.051751120E1,-3.741290420E-3,-3.193670511E-1,1.781463623E-3,3.193939326E-1
1.053543704E1,-3.768708929E-2,-2.469885647E-1,1.193237305E-2,2.501320638E-1
1.055335055E1,-1.339915767E-2,-3.323403895E-1,3.045082092E-2,3.340013838E-1
1.057126852E1,-3.765898570E-2,-2.598361969E-1,3.102493286E-2,2.643777504E-1
1.058916848E1,-2.351510525E-2,-3.069109917E-1,1.185607910E-2,3.080387696E-1
