"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.579423521E1,2.326302230E-3,7.050159574E-2,1.143617630E-1,1.343670329E-1
3.581215398E1,-2.202138677E-2,5.588346720E-2,1.430931091E-1,1.551887279E-1
3.583005870E1,-5.229271948E-2,5.673840642E-2,8.165454865E-2,1.123442949E-1
3.584799455E1,-7.924671471E-2,6.548410654E-2,-6.105041504E-2,1.195632183E-1
3.586591032E1,-7.720742375E-2,4.222190380E-2,-1.612949371E-1,1.837382165E-1
3.588382970E1,-7.762089372E-2,5.969226360E-3,-1.946010590E-1,2.095953410E-1
3.590173485E1,-6.210724637E-2,-5.307748914E-2,-1.519851685E-1,1.725515034E-1
3.591966746E1,-7.194224000E-2,-8.988445997E-2,-1.045589447E-1,1.555232296E-1
3.593758574E1,-4.855173826E-2,-1.275773644E-1,-1.097450256E-1,1.751491532E-1
3.595550468E1,-4.750634730E-2,-1.412498057E-1,-1.717767715E-1,2.274106855E-1
3.597342332E1,-6.256072968E-2,-1.334080994E-1,-1.854476929E-1,2.368594788E-1
3.599133256E1,-6.066463143E-2,-1.335435212E-1,-1.423454285E-1,2.043924914E-1
3.600925804E1,-5.737579614E-2,-1.466394961E-1,-9.991741180E-2,1.864902490E-1
3.602718278E1,-3.610717505E-2,-1.155818105E-1,-4.740524292E-2,1.300389944E-1
3.604509874E1,-3.170952201E-2,-9.369558096E-2,-4.757118225E-2,1.097605260E-1
3.606301762E1,-2.295832336E-2,-6.662359834E-2,-4.715156555E-2,8.478831642E-2
3.608093602E1,-4.489962757E-2,-3.438696265E-2,-1.861476898E-2,5.953947749E-2
3.609885496E1,-3.441430628E-2,3.068953753E-3,3.404617310E-4,3.455255227E-2
3.611677397E1,-5.202980340E-2,1.554915309E-2,4.982948303E-3,5.453170066E-2
3.613468407E1,-4.471550882E-2,4.082566500E-2,-1.361370087E-2,6.206081294E-2
3.615261015E1,-6.241452321E-2,5.544689298E-2,-6.149291992E-2,1.036885232E-1
3.617053154E1,-4.371707886E-2,4.641857743E-2,-8.065605164E-2,1.028166620E-1
3.618844908E1,-4.626999795E-2,1.793479919E-2,-6.629085541E-2,8.280728980E-2
3.620636827E1,-3.504174948E-2,-6.495803595E-3,-5.248546600E-2,6.344165676E-2
3.622428636E1,-2.812317014E-2,1.054555178E-3,-9.006023407E-2,9.435502396E-2
3.624220573E1,-3.161535412E-2,2.814492583E-2,-1.617479324E-1,1.671946803E-1
3.626012431E1,-4.501708597E-2,-5.123198032E-3,-1.425819397E-1,1.496074688E-1
3.627804356E1,-4.398961365E-2,-5.386066437E-2,-5.220031738E-2,8.695361068E-2
3.629596196E1,-2.197379619E-2,-4.603582621E-2,-7.600402832E-2,9.153555230E-2
3.631387376E1,-5.508989096E-3,-6.138536334E-2,-1.663141251E-1,1.773665695E-1
3.633179771E1,-1.943128556E-2,-7.329228520E-2,-1.904001236E-1,2.049427749E-1
3.634972081E1,-3.634788841E-2,-6.352737546E-2,-1.433801651E-1,1.609806453E-1
3.636763695E1,-2.696277201E-2,-5.836308002E-2,-4.851341248E-3,6.447306179E-2
3.638555601E1,-1.605135202E-2,-4.593878984E-2,1.571302414E-1,1.644929514E-1
3.640347478E1,-1.306266338E-2,-3.853744268E-2,2.337446213E-1,2.372600169E-1
3.642139409E1,-2.088648826E-2,-2.360138297E-2,1.914339066E-1,1.940108534E-1
3.643931230E1,-2.380724251E-2,4.259377718E-3,3.909206390E-2,4.596864752E-2
3.645723137E1,-5.924921110E-2,3.881689906E-2,-1.276330948E-1,1.459706394E-1
3.647515019E1,-8.142066002E-2,6.229576468E-2,-2.657508850E-1,2.848396374E-1
3.649306914E1,-7.378474623E-2,7.460013032E-2,-2.807884216E-1,2.997524077E-1
3.651098723E1,-7.954295725E-2,5.395644903E-2,-1.899871826E-1,2.129166738E-1
3.652890684E1,-6.785892695E-2,4.285624623E-2,-4.234981537E-2,9.074689345E-2
3.654681346E1,-7.088737190E-2,4.281789064E-2,1.503849030E-2,8.416975374E-2
3.656474211E1,-8.105523884E-2,3.933262825E-2,-1.833820343E-2,9.194181363E-2
3.658266514E1,-5.444403365E-2,6.121784449E-3,-1.138401031E-1,1.263376354E-1
