"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.287629392E1,-1.715404540E-2,-8.473947644E-2,-6.163005829E-1,6.223354791E-1
3.289421848E1,-2.178703994E-2,-7.973286510E-2,-6.210918427E-1,6.265676994E-1
3.291213847E1,7.374890149E-3,-6.026181579E-2,-5.684614182E-1,5.716942009E-1
3.293005186E1,-2.634128183E-2,-5.066134036E-2,-6.348657608E-1,6.374284029E-1
3.294796642E1,-2.606601268E-2,-5.470313132E-2,-6.683712006E-1,6.711124580E-1
3.296588188E1,2.685345709E-2,-3.557398915E-2,-6.593990326E-1,6.609037003E-1
3.298379619E1,-3.479716927E-2,-1.156944036E-2,-6.875219345E-1,6.884991688E-1
3.300171227E1,-3.906338662E-2,-2.108880877E-2,-6.731700897E-1,6.746322374E-1
3.301962652E1,-4.830360413E-4,-1.894041896E-3,-6.779584885E-1,6.779613063E-1
3.303754211E1,-5.262607709E-2,-2.596913278E-2,-6.779603958E-1,6.804955534E-1
3.305545660E1,9.850539267E-3,-6.866469979E-3,-6.779613495E-1,6.780676758E-1
3.307337286E1,-4.248145223E-2,-1.151697338E-2,-6.444664001E-1,6.459676891E-1
3.309128723E1,-4.201255739E-2,-1.626183093E-2,-6.636142731E-1,6.651416432E-1
3.310920264E1,1.455016434E-3,-3.053596616E-2,-6.540479660E-1,6.547620210E-1
3.312711695E1,-1.257394254E-2,-5.903245509E-2,-6.827688217E-1,6.854313961E-1
3.314503339E1,-1.236134022E-2,-7.318656147E-2,-7.210607529E-1,7.248708056E-1
3.316294764E1,7.006086409E-3,-6.354798377E-2,-6.738052368E-1,6.768315364E-1
3.318086335E1,-1.201526076E-2,-8.262276649E-2,-6.738080978E-1,6.789611482E-1
3.319877400E1,-4.535119981E-2,-6.401039660E-2,-6.684265137E-1,6.730141651E-1
3.321669233E1,-6.851844490E-3,-7.771760225E-2,-7.120990753E-1,7.163602910E-1
3.323460920E1,-6.582356989E-3,-8.243906498E-2,-7.168874741E-1,7.216420008E-1
3.325252394E1,-3.993108869E-2,-4.935109615E-2,-6.546802521E-1,6.577509065E-1
3.327043807E1,-3.490260243E-2,-6.348207593E-2,-6.881856918E-1,6.919882312E-1
3.328834432E1,-3.450477868E-2,-3.435094655E-2,-7.354431152E-1,7.370530124E-1
3.330626577E1,-5.812888592E-2,-2.944025397E-2,-7.689476013E-1,7.717033818E-1
3.332418716E1,-1.005398482E-2,-5.397111177E-3,-6.828107834E-1,6.829061263E-1
3.334209847E1,-5.267940462E-2,8.982688189E-3,-6.588850021E-1,6.610486021E-1
3.336001474E1,-6.644278765E-2,-1.029808819E-2,-6.828155518E-1,6.861178998E-1
3.337792886E1,-3.552354872E-3,-2.464742959E-2,-7.402486801E-1,7.406674176E-1
3.339584457E1,1.101278514E-2,-3.402061760E-2,-6.929960251E-1,6.939179884E-1
3.341375681E1,-2.685783058E-2,-2.899701893E-2,-7.019767761E-1,7.030885893E-1
3.343167722E1,-1.651640236E-2,-3.867839277E-2,-6.924095154E-1,6.936856252E-1
3.344958982E1,7.628992200E-3,-5.294559896E-2,-7.312965393E-1,7.332503436E-1
3.346750522E1,1.288846135E-2,-4.331396520E-2,-7.360877991E-1,7.374737012E-1
3.348541947E1,-1.377962530E-3,-7.665520906E-2,-6.786632538E-1,6.829800377E-1
3.350333579E1,3.644332290E-3,-6.223343313E-2,-6.499519348E-1,6.529347586E-1
3.352123802E1,-5.931600928E-3,-6.227703393E-2,-6.834506989E-1,6.863078541E-1
3.353916356E1,-1.065395027E-2,-6.693679094E-2,-7.689981461E-1,7.719793969E-1
3.355708226E1,1.348561794E-2,-4.772296548E-2,-7.259292603E-1,7.276212162E-1
3.357499596E1,-2.420821041E-2,-3.810724616E-2,-6.972208023E-1,6.986809335E-1
3.359291026E1,-3.380634636E-2,-4.358913004E-2,-6.589336395E-1,6.612385520E-1
