"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
8.475462660E1,-1.732399940E1,-6.466000080E0,-5.182559967E1,5.502565668E1
8.476462660E1,-1.643339920E1,-6.295199871E0,-5.153279877E1,5.445471054E1
8.477462660E1,-1.682379913E1,-6.087800026E0,-5.081299973E1,5.387079420E1
8.478460121E1,-1.697019958E1,-5.026400089E0,-5.163039780E1,5.457976134E1
8.479462586E1,-1.697019958E1,-5.026400089E0,-5.163039780E1,5.457976134E1
8.480462635E1,-1.690919876E1,-4.880000114E0,-5.164259720E1,5.455908036E1
8.481462611E1,-1.592099953E1,-4.660399914E0,-5.089839935E1,5.353358394E1
8.482462684E1,-1.676280022E1,-4.196799755E0,-5.176459885E1,5.457268816E1
8.483462635E1,-1.667740059E1,-4.160200119E0,-5.217939758E1,5.493753259E1
8.484462660E1,-1.748259926E1,-5.184999943E0,-5.117900085E1,5.433061411E1
8.485462635E1,-1.733619881E1,-4.928800106E0,-5.174020004E1,5.478946213E1
8.486462660E1,-1.701899910E1,-4.916599751E0,-5.198419952E1,5.491972582E1
8.487462611E1,-2.150860023E1,-6.307399750E0,-6.253719711E1,6.643270428E1
8.488462586E1,-1.642119980E1,-4.672599792E0,-5.113019943E1,5.390534561E1
8.489461292E1,-1.625040054E1,-4.489599705E0,-5.059339905E1,5.332845442E1
8.490462611E1,-1.615279961E1,-4.562799931E0,-5.152059937E1,5.418583060E1
8.491462611E1,-1.573799992E1,-4.257800102E0,-5.181340027E1,5.431797079E1
8.492462660E1,-1.648220062E1,-4.391999722E0,-5.110580063E1,5.387722577E1
8.493462611E1,-1.637240028E1,-4.282199860E0,-5.142300034E1,5.413610339E1
8.494462611E1,-1.653100014E1,-4.147999763E0,-5.236240005E1,5.506633098E1
8.495462635E1,-1.423740005E1,-3.025599957E0,-5.149620056E1,5.351370374E1
8.496461488E1,-1.465219975E1,-3.001199961E0,-5.203299713E1,5.413988316E1
8.497462635E1,-1.529879951E1,-3.281800032E0,-5.148399734E1,5.380915778E1
8.498460267E1,-1.427400017E1,-3.098799944E0,-5.181340027E1,5.383287183E1
